timeStep pedestrianId overlapPedestrianId distance-PID3 overlaps-PID3
2 29 33 0.399982936539281 1.7063460719002332E-5
2 39 42 0.39796632838997875 0.0020336716100212704
5 123 143 0.3986308933518482 0.0013691066481518188
6 42 120 0.39037392610572247 0.009626073894277554
6 69 125 0.3934154521137231 0.006584547886276937
6 102 149 0.3978572319568944 0.0021427680431056473
6 120 159 0.39229972641609795 0.007700273583902073
7 166 190 0.39989933991190735 1.0066008809267446E-4
7 167 195 0.39561469089608453 0.004385309103915491
9 147 168 0.3883873729844113 0.011612627015588739
11 86 196 0.39217894057394936 0.007821059426050658
16 23 136 0.3922822234272277 0.007717776572772339
16 120 137 0.39555581354664665 0.0044441864533533715
19 16 136 0.3943585700038947 0.0056414299961053405
19 31 39 0.39951689645737076 4.831035426292596E-4
22 11 28 0.3992530992179252 7.469007820748441E-4
23 11 24 0.39320642272597855 0.006793577274021467
30 81 90 0.39558800486204304 0.004411995137956981
34 29 50 0.3917472305951448 0.008252769404855198
43 3 20 0.3956716411705654 0.004328358829434609
43 40 51 0.3918573534637925 0.008142646536207498
43 49 181 0.3908941125177354 0.009105887482264596
55 38 187 0.39264064542425897 0.0073593545757410506
78 57 166 0.3945174935364293 0.0054825064635707355
82 182 194 0.39122826761465107 0.008771732385348951
99 38 153 0.39968499495346377 3.1500504653625416E-4
102 168 195 0.3927355182294866 0.00726448177051342
104 40 198 0.39552977864307454 0.004470221356925486
114 51 155 0.38961097795720917 0.010389022042790852
